FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
15-376	Pancakes, stuffed with vegetables	Pancakes, stuffed with vegetables	A0705 A0828 B1276 C0165 E0147 F0014 G0001 H0151 H0166 H0184 H0207 H0349 J0001 K0003 M0001 N0001 P0024 R0001	
15-552	Pancakes, stuffed with vegetables, wholemeal	Pancakes, stuffed with vegetables, wholemeal		
11-702	Pancakes, sweet, made with skimmed milk	Pancakes, sweet, made with skimmed milk		
11-601	Pancakes, sweet, made with whole milk	Pancakes, sweet, made with whole milk	A0721 A0864 B1201 C0235 E0140 F0014 G0035 H0158 H0186 H0319 J0003 K0003 M0001 N0001 P0024 R0001	
16-200	Pangas, raw	Pangas, raw		
11-087	Papadums, raw	Papadums, raw		
13-311	Papaya, unripe, raw	Papaya, unripe, raw		
11-464	Pappadums, takeaway	Pappadums, takeaway	A0691 A0831 B1172 C0133 E0153 F0014 G0024 H0001 J0001 K0003 M0001 N0001 P0024 R0001 Z0119	
13-101	Papri beans, canned, drained	Papri beans, canned, drained		
13-100	Papri beans, raw	Papri beans, raw		
13-843	Paprika	Paprika	A0722 A0857 B1353 C0139 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
11-630	Paratha	Paratha		
16-101	Parrot fish, raw	Parrot fish, raw		
13-845	Parsley, dried	Parsley, dried		
13-844	Parsley, fresh	Parsley, fresh	A0722 A0857 B1550 C0144 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024 R0001	
13-477	Parsnip, boiled in salted water	Parsnip, boiled in salted water	A0705 A0826 B1483 C0240 E0137 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-454	Parsnip, boiled in unsalted water	Parsnip, boiled in unsalted water	A0705 A0826 B1483 C0240 E0137 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
13-312	Parsnip, raw	Parsnip, raw	A0705 A0826 B1483 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
18-381	Partridge, roasted, meat only	Partridge, roasted, meat only	A0715 A0795 B1382 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0003	
18-382	Partridge, roasted, meat only, weighed with bone	Partridge, roasted, meat only, weighed with bone	A0715 A0795 B1382 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0003	
14-178	Passion fruit	Passion fruit	A0707 A0833 B1634 C0230 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-285	Passion fruit juice	Passion fruit juice		
14-179	Passion fruit, weighed with skin	Passion fruit, weighed with skin	A0707 A0833 B1634 C0230 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
17-323	Pasta sauce, tomato based	Pasta sauce, tomato based	A0722 A0862 B1276 C0167 E0103 F0014 G0001 H0117 H0136 H0200 H0279 J0001 K0003 M0001 N0001 P0024 R0001	
17-614	Pasta sauce, white	Pasta sauce, white		
19-347	Pasta with meat and tomato sauce	Pasta with meat and tomato sauce	A0694 A0822 B1079 C0132 E0108 F0014 G0015 G0020 G0026 H0191 H0259 J0003 K0003 M0003 N0001 P0024 R0001	
19-413	Pasta wth ham and mushroom sauce	Pasta wth ham and mushroom sauce		
11-451	Pasta, fresh, cheese and vegetable stuffed, cooked	Pasta, fresh, cheese and vegetable stuffed, cooked	A0694 A0822 B1079 C0132 E0153 F0014 G0015 H0107 H0143 H0186 H0207 H0212 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
11-450	Pasta, plain, fresh, cooked	Pasta, plain, fresh, cooked	A0694 A0815 B1079 C0132 E0153 F0014 G0015 H0186 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
11-449	Pasta, plain, fresh, raw	Pasta, plain, fresh, raw	A0694 A0815 B1079 C0132 E0153 F0001 G0003 H0186 J0001 K0003 M0001 N0001 P0024 R0001	
15-553	Pastichio	Pastichio		
19-142	Pastrami	Pastrami		
15-377	Pasty, vegetable	Pasty, vegetable	A0705 A0822 B1312 C0132 E0147 F0014 G0001 H0207 H0212 J0001 K0003 M0001 N0001 P0024 R0001	
15-554	Pasty, vegetable, wholemeal	Pasty, vegetable, wholemeal		
19-317	Pate, liver	Pate, liver	A0716 A0798 B1297 C0176 E0144 F0014 G0003 H0117 J0001 K0003 M0001 N0001 P0024	
19-144	Pate, liver, in a tube	Pate, liver, in a tube	A0716 A0798 B1297 C0176 E0144 F0014 G0003 H0117 J0001 K0003 M0200 N0001 P0024	
19-145	Pate, meat, reduced fat	Pate, meat, reduced fat	A0714 A0798 B1297 C0267 E0144 F0014 G0003 H0117 H0307 H0325 J0001 K0003 M0001 N0001 P0024 P0040	
13-315	Patra leaves, raw	Patra leaves, raw		
12-403	Pavlova, no fruit	Pavlova, no fruit	A0698 A0864 B1012 C0108 E0147 F0023 G0003 H0205 H0241 H0296 H0358 J0136 K0003 M0001 N0001 P0024 R0001	
12-404	Pavlova, with fruit and cream	Pavlova, with fruit and cream	A0698 A0864 B1012 C0108 E0147 F0023 G0003 H0147 H0205 H0241 H0296 H0358 J0136 K0003 M0001 N0001 P0024 R0001	
14-182	Paw-paw, canned in juice	Paw-paw, canned in juice	A0707 A0834 B1249 C0229 E0122 F0014 G0003 H0003 J0123 K0039 M0204 N0001 P0024 Z0220	
14-180	Paw-paw, raw	Paw-paw, raw	A0707 A0833 B1249 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-181	Paw-paw, raw, weighed with skin and pips	Paw-paw, raw, weighed with skin and pips	A0707 A0833 B1249 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
17-604	Pea and ham soup	Pea and ham soup		
12-451	Peach melba	Peach melba		
14-188	Peaches, canned in juice	Peaches, canned in juice	A0707 A0834 B1350 C0213 E0133 F0014 G0003 H0003 J0123 K0039 M0204 N0001 P0024 Z0220	
14-189	Peaches, canned in syrup	Peaches, canned in syrup	A0707 A0834 B1350 C0213 E0133 F0014 G0003 H0136 J0123 K0023 M0204 N0001 P0024 Z0220	
14-185	Peaches, dried	Peaches, dried		
14-186	Peaches, dried, stewed with sugar	Peaches, dried, stewed with sugar		
14-187	Peaches, dried, stewed without sugar	Peaches, dried, stewed without sugar		
14-299	Peaches, raw	Peaches, raw	A0707 A0833 B1350 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-312	Peaches, raw, weighed with stone	Peaches, raw, weighed with stone	A0707 A0833 B1350 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
17-040	Peanut (Groundnut) oil	Peanut (Groundnut) oil	A0700 A0806 B1337 C0190 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
17-116	Peanut brittle	Peanut brittle		
14-876	Peanut butter, smooth	Peanut butter, smooth	A0703 A0824 B1337 C0132 E0119 F0014 G0003 H0158 H0221 J0001 K0003 M0001 N0001 P0024	
14-830	Peanut butter, wholegrain	Peanut butter, wholegrain	A0703 A0824 B1337 C0132 E0134 F0014 G0003 H0158 H0221 J0001 K0003 M0001 N0001 P0024	
14-882	Peanuts and raisins	Peanuts and raisins	A0703 A0868 B1337 C0155 E0150 F0014 G0003 H0138 H0364 J0116 K0003 M0001 N0001 P0024	
14-878	Peanuts, dry roasted	Peanuts, dry roasted	A0703 A0823 B1337 C0132 E0150 F0014 G0005 H0138 J0116 K0003 M0001 N0001 P0024	
14-877	Peanuts, plain	Peanuts, plain	A0703 A0823 B1337 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
14-886	Peanuts, plain, weighed with shells	Peanuts, plain, weighed with shells	A0703 A0823 B1337 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
14-835	Peanuts, raisins and chocolate chips	Peanuts, raisins and chocolate chips	A0703 A0868 B1329 C0137 E0150 F0014 G0003 H0124 H0138 H0231 J0116 K0003 M0001 N0001 P0024	
14-834	Peanuts, roasted and salted	Peanuts, roasted and salted	A0703 A0823 B1337 C0132 E0150 F0014 G0005 H0138 H0173 J0116 K0003 M0001 N0001 P0024	
14-190	Pears, average, raw	Pears, average, raw	A0707 A0833 B1344 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-192	Pears, average, raw, peeled	Pears, average, raw, peeled	A0707 A0833 B1344 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-193	Pears, average, raw, peeled, weighed with skin and core	Pears, average, raw, peeled, weighed with skin and core		
14-191	Pears, average, raw, weighed with core	Pears, average, raw, weighed with core	A0707 A0833 B1344 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-194	Pears, average, stewed with sugar	Pears, average, stewed with sugar	A0707 A0834 B1344 C0139 E0150 F0014 G0020 H0148 H0158 J0001 K0003 M0001 N0001 P0024	
14-195	Pears, average, stewed without sugar	Pears, average, stewed without sugar	A0707 A0834 B1344 C0139 E0150 F0014 G0020 H0148 J0001 K0003 M0001 N0001 P0024 P0091	
14-197	Pears, canned in juice	Pears, canned in juice	A0707 A0834 B1344 C0229 E0133 F0014 G0003 H0003 J0123 K0039 M0204 N0001 P0024 Z0220	
14-198	Pears, canned in syrup	Pears, canned in syrup	A0707 A0834 B1344 C0229 E0133 F0014 G0003 H0136 J0123 K0023 M0204 N0001 P0024 Z0220	
14-199	Pears, Comice, raw	Pears, Comice, raw	A0707 A0833 B1344 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-200	Pears, Comice, raw, weighed with core	Pears, Comice, raw, weighed with core		
14-201	Pears, Conference, raw	Pears, Conference, raw	A0707 A0833 B1344 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-202	Pears, Conference, raw, weighed with core	Pears, Conference, raw, weighed with core		
14-196	Pears, dried	Pears, dried		
14-205	Pears, Nashi, raw	Pears, Nashi, raw	A0707 A0833 B1523 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-206	Pears, Nashi, weighed with core	Pears, Nashi, weighed with core		
14-203	Pears, William, raw	Pears, William, raw	A0707 A0833 B1344 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-204	Pears, William, raw, weighed with core	Pears, William, raw, weighed with core		
13-478	Peas, boiled in salted water	Peas, boiled in salted water	A0705 A0826 B1338 C0133 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-439	Peas, boiled in unsalted water	Peas, boiled in unsalted water	A0705 A0826 B1338 C0133 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
13-441	Peas, canned, re-heated, drained	Peas, canned, re-heated, drained	A0705 A0826 B1338 C0133 E0150 F0014 G0037 H0001 J0123 K0011 M0204 N0001 P0024 Z0219	
13-131	Peas, dried, boiled in unsalted water	Peas, dried, boiled in unsalted water		
13-130	Peas, dried, raw	Peas, dried, raw		
13-465	Peas, frozen, boiled in salted water	Peas, frozen, boiled in salted water	A0705 A0826 B1338 C0133 E0150 F0014 G0015 H0241 J0136 K0003 M0001 N0001 P0024	
13-440	Peas, frozen, boiled in unsalted water	Peas, frozen, boiled in unsalted water	A0705 A0826 B1338 C0133 E0150 F0014 G0015 H0241 J0136 K0003 M0001 N0001 P0024 P0078	
13-132	Peas, frozen, raw	Peas, frozen, raw	A0705 A0826 B1338 C0133 E0150 F0003 G0003 H0003 H0241 J0136 K0003 M0001 N0001 P0024	
13-438	Peas, raw	Peas, raw	A0705 A0826 B1338 C0133 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-136	Pease pudding, canned, re-heated, drained	Pease pudding, canned, re-heated, drained		
14-837	Pecan nuts	Pecan nuts	A0703 A0823 B1320 C0132 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-838	Pecan nuts, weighed with shells	Pecan nuts, weighed with shells		
13-846	Pepper, black	Pepper, black	A0722 A0857 B1191 C0140 E0150 F0003 G0003 H0119 H0138 J0116 K0003 M0001 N0001 P0024 Z0051	
13-847	Pepper, cayenne, ground	Pepper, cayenne, ground		
13-848	Pepper, white	Pepper, white	A0722 A0857 B1141 C0140 E0150 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024 Z0052	
19-108	Pepperami	Pepperami		
17-587	Peppermint creams	Peppermint creams		
17-117	Peppermints	Peppermints	A0698 A0838 B1012 C0210 E0147 F0014 G0003 H0100 J0001 K0003 M0001 N0001 P0024 R0001	
13-316	Peppers, capsicum, chilli, green, raw	Peppers, capsicum, chilli, green, raw	A0705 A0826 B1643 C0139 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-317	Peppers, capsicum, chilli, red, raw	Peppers, capsicum, chilli, red, raw	A0705 A0826 B1643 C0139 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-319	Peppers, capsicum, green, boiled in salted water	Peppers, capsicum, green, boiled in salted water	A0705 A0826 B2629 C0139 E0137 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-318	Peppers, capsicum, green, raw	Peppers, capsicum, green, raw	A0705 A0826 B2629 C0139 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-321	Peppers, capsicum, red, boiled in salted water	Peppers, capsicum, red, boiled in salted water	A0705 A0826 B2630 C0139 E0151 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-320	Peppers, capsicum, red, raw	Peppers, capsicum, red, raw	A0705 A0826 B2630 C0139 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-322	Peppers, capsicum, yellow, raw	Peppers, capsicum, yellow, raw	A0705 A0826 B2631 C0139 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
15-555	Peppers, stuffed with rice	Peppers, stuffed with rice		
15-556	Peppers, stuffed with vegetables, cheese topping	Peppers, stuffed with vegetables, cheese topping		
15-557	Pesto sauce	Pesto sauce		
13-139	Petit pois, canned, drained	Petit pois, canned, drained		
13-137	Petit pois, frozen, boiled in salted water	Petit pois, frozen, boiled in salted water	A0705 A0826 B1338 C0133 E0150 F0014 G0015 H0241 J0136 K0003 M0001 N0001 P0024 Z0051	
13-138	Petit pois, frozen, boiled in unsalted water	Petit pois, frozen, boiled in unsalted water	A0705 A0826 B1338 C0133 E0150 F0014 G0015 H0241 J0136 K0003 M0001 N0001 P0024 P0078 Z0051	
18-454	Pheasant, casseroled, meat only	Pheasant, casseroled, meat only	A0715 A0795 B1460 C0268 E0152 F0014 G0020 H0003 J0001 K0003 M0001 N0001 P0024 Z0003	
18-383	Pheasant, roasted, meat only	Pheasant, roasted, meat only	A0715 A0795 B1460 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0003	
18-384	Pheasant, roasted, meat only, weighed with bone	Pheasant, roasted, meat only, weighed with bone	A0715 A0795 B1460 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0003	
14-207	Phyalis	Phyalis		
17-347	Piccalilli	Piccalilli	A0722 A0860 B1579 C0174 E0134 F0014 G0003 H0117 H0136 H0190 H0200 J0001 K0003 M0215 N0001 P0024 R0001	
17-348	Pickle, chilli, oily	Pickle, chilli, oily		
17-349	Pickle, lime, oily	Pickle, lime, oily		
17-350	Pickle, mango, oily	Pickle, mango, oily		
17-351	Pickle, mixed vegetables	Pickle, mixed vegetables		
17-352	Pickle, sweet	Pickle, sweet	A0722 A0860 B1579 C0174 E0134 F0014 G0003 H0117 H0158 H0190 H0200 H0279 J0001 K0003 M0215 N0001 P0024 R0001	
15-558	Pie, Quorn and vegetable	Pie, Quorn and vegetable		
15-559	Pie, spinach	Pie, spinach		
15-379	Pie, vegetable	Pie, vegetable	A0705 A0828 B1312 C0132 E0147 F0014 G0005 G0020 H0151 H0207 H0212 J0001 K0003 M0001 N0001 P0024 R0001	
15-560	Pie, vegetable, wholemeal	Pie, vegetable, wholemeal		
13-105	Pigeon peas, dahl, dried, boiled in unsalted water	Pigeon peas, dahl, dried, boiled in unsalted water		
13-104	Pigeon peas, dahl, dried, raw	Pigeon peas, dahl, dried, raw		
13-103	Pigeon peas, whole, dried, boiled in unsalted water	Pigeon peas, whole, dried, boiled in unsalted water		
13-102	Pigeon peas, whole, dried, raw	Pigeon peas, whole, dried, raw		
18-385	Pigeon, roasted, meat only	Pigeon, roasted, meat only	A0715 A0795 B1304 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0003	
18-386	Pigeon, roasted, meat only, weighed with bone	Pigeon, roasted, meat only, weighed with bone	A0715 A0795 B1304 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0003	
15-561	Pilaf, rice with spinach	Pilaf, rice with spinach		
15-616	Pilaf, rice with tomato	Pilaf, rice with tomato		
15-562	Pilau, egg and potato	Pilau, egg and potato		
15-563	Pilau, egg and potato, brown rice	Pilau, egg and potato, brown rice		
15-564	Pilau, mushroom	Pilau, mushroom		
11-561	Pilau, plain	Pilau, plain	A0696 A0814 B1322 C0132 E0150 F0014 G0015 G0026 H0151 H0333 H0349 H0367 J0003 K0003 M0001 N0001 P0024 R0001	
16-355	Pilau, prawn	Pilau, prawn		
15-565	Pilau, vegetable	Pilau, vegetable		
16-201	Pilchards, canned in tomato sauce	Pilchards, canned in tomato sauce	A0717 A0803 B1853 C0175 E0122 F0014 G0003 H0001 J0123 K0037 M0204 N0001 P0024	
14-839	Pine nuts	Pine nuts	A0703 A0823 B1596 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
14-287	Pineapple juice concentrate, unsweetened	Pineapple juice concentrate, unsweetened		
14-286	Pineapple juice, unsweetened	Pineapple juice, unsweetened	A0708 A0841 B1484 C0167 E0109 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024 P0105	
14-211	Pineapple, canned in juice	Pineapple, canned in juice	A0707 A0834 B1484 C0229 E0152 F0014 G0003 H0003 J0123 K0039 M0204 N0001 P0024 Z0220	
14-212	Pineapple, canned in syrup	Pineapple, canned in syrup	A0707 A0834 B1484 C0229 E0152 F0014 G0003 H0136 J0123 K0023 M0204 N0001 P0024 Z0220	
14-210	Pineapple, dried	Pineapple, dried		
14-208	Pineapple, raw	Pineapple, raw	A0707 A0833 B1484 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-209	Pineapple, raw, weighed with skin and top	Pineapple, raw, weighed with skin and top		
11-668	Pinni	Pinni		
13-107	Pinto beans, dried, boiled in unsalted water	Pinto beans, dried, boiled in unsalted water		
13-106	Pinto beans, dried, raw	Pinto beans, dried, raw		
13-108	Pinto beans, re-fried beans	Pinto beans, re-fried beans		
14-840	Pistachio nuts, roasted and salted	Pistachio nuts, roasted and salted	A0703 A0823 B1416 C0132 E0150 F0014 G0005 H0138 H0173 J0116 K0003 M0001 N0001 P0024	
14-841	Pistachio nuts, roasted and salted, weighed with shells	Pistachio nuts, roasted and salted, weighed with shells		
11-465	Pitta bread, white	Pitta bread, white	A0691 A0819 B1312 C0155 E0140 F0014 G0005 H0256 H0259 H0753 J0100 K0003 M0001 N0001 P0024 R0001	
11-552	Pizza base, raw	Pizza base, raw	A0695 A0822 B1312 C0132 E0105 F0014 G0003 H0221 H0259 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-613	Pizza, cheese and tomato, deep pan	Pizza, cheese and tomato, deep pan	A0695 A0822 B1312 C0132 E0105 F0014 G0005 H0107 H0143 H0259 H0263 H0350 H0753 J0001 K0003 M0001 N0001 P0024 R0001 Z0119	
11-554	Pizza, cheese and tomato, french bread	Pizza, cheese and tomato, french bread	A0695 A0822 B1312 C0132 E0105 F0014 G0005 H0107 H0143 H0151 H0259 H0263 H0350 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-553	Pizza, cheese and tomato, frozen	Pizza, cheese and tomato, frozen	A0695 A0822 B1312 C0132 E0105 F0014 G0005 H0107 H0143 H0151 H0241 H0259 H0263 H0350 H0753 J0136 K0003 M0001 N0001 P0024 R0001	
15-252	Pizza, cheese and tomato, homemade	Pizza, cheese and tomato, homemade		
11-555	Pizza, cheese and tomato, takeaway	Pizza, cheese and tomato, takeaway	A0695 A0822 B1312 C0132 E0105 F0014 G0005 H0107 H0143 H0259 H0263 H0350 H0753 J0001 K0003 M0001 N0001 P0024 R0001 Z0119	
11-614	Pizza, cheese and tomato, thin base	Pizza, cheese and tomato, thin base	A0695 A0822 B1312 C0132 E0105 F0014 G0005 H0107 H0143 H0259 H0263 H0350 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
15-253	Pizza, cheese and tomato, wholemeal, homemade	Pizza, cheese and tomato, wholemeal, homemade		
11-559	Pizza, chicken topped, chilled	Pizza, chicken topped, chilled	A0695 A0822 B1312 C0132 E0105 F0014 G0005 H0107 H0143 H0150 H0171 H0227 H0259 H0350 H0753 J0131 K0003 M0001 N0001 P0024 R0001	
11-560	Pizza, fish topped, takeaway	Pizza, fish topped, takeaway	A0695 A0822 B1312 C0132 E0105 F0014 G0005 H0107 H0143 H0153 H0259 H0350 H0753 J0001 K0003 M0001 N0001 P0024 R0001 Z0119	
11-558	Pizza, ham and pineapple, chilled	Pizza, ham and pineapple, chilled	A0695 A0822 B1312 C0132 E0105 F0014 G0005 H0107 H0143 H0147 H0150 H0191 H0227 H0259 H0350 H0753 J0131 K0003 M0001 N0001 P0024 R0001	
11-556	Pizza, meat topped	Pizza, meat topped	A0695 A0822 B1312 C0132 E0105 F0014 G0005 H0107 H0143 H0191 H0227 H0259 H0350 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
15-255	Pizza, tomato, homemade	Pizza, tomato, homemade		
15-256	Pizza, tomato, wholemeal, homemade	Pizza, tomato, wholemeal, homemade		
11-557	Pizza, vegetarian	Pizza, vegetarian	A0695 A0822 B1312 C0132 E0105 F0014 G0005 H0107 H0143 H0151 H0212 H0259 H0350 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
16-106	Plaice, frozen, grilled	Plaice, frozen, grilled		
16-107	Plaice, frozen, grilled, weighed with bones and skin	Plaice, frozen, grilled, weighed with bones and skin		
16-105	Plaice, frozen, raw	Plaice, frozen, raw	A0717 A0802 B2570 C0125 E0122 F0003 G0003 H0241 J0136 K0003 M0001 N0001 P0024 Z0061	
16-108	Plaice, frozen, steamed	Plaice, frozen, steamed	A0717 A0802 B2570 C0125 E0122 F0014 G0021 H0241 J0136 K0003 M0001 N0001 P0024 Z0061	
16-109	Plaice, frozen, steamed, weighed with bones and skin	Plaice, frozen, steamed, weighed with bones and skin	A0717 A0802 B2570 C0268 E0122 F0014 G0021 H0241 J0136 K0003 M0001 N0001 P0024 Z0061	
16-119	Plaice, goujons, baked	Plaice, goujons, baked	A0717 A0803 B2570 C0125 E0122 F0014 G0005 H0188 H0356 J0001 K0003 M0001 N0001 P0024 Z0061 Z0112	
